1000 5000
299 938 6
784 804 20
759 543 76
976 369 84
212 532 96
626 614 57
320 2 90
713 134 87
40 255 12
202 671 22
90 322 12
895 106 68
566 217 12
841 193 33
176 405 65
271 384 32
779 704 34
820 769 20
559 809 75
70 363 46
244 454 20
355 701 26
975 268 43
786 109 89
318 286 46
734 909 30
765 41 34
151 861 3
670 420 65
797 843 28
594 439 34
714 794 36
939 769 56
734 907 17
722 225 55
819 312 65
949 429 58
782 580 19
737 603 92
501 400 87
980 994 26
914 708 72
901 0 94
156 86 1
872 160 79
579 979 91
843 928 20
852 63 53
370 152 56
13 5 8
499 985 54
776 251 15
848 152 67
41 308 53
141 533 65
819 112 44
161 307 25
581 159 40
933 881 44
240 247 49
299 746 86
352 523 38
818 723 90
284 764 51
188 257 36
252 429 48
648 590 7
972 523 18
63 808 51
306 400 98
906 699 45
491 404 20
328 222 95
318 859 11
968 47 68
503 300 49
502 948 92
160 272 15
977 335 76
379 993 76
677 899 28
73 742 32
344 71 6
338 389 65
448 709 13
167 564 65
316 418 13
407 578 37
373 907 24
148 286 69
676 963 68
903 36 10
886 732 33
91 70 74
156 518 83
620 38 99
384 706 17
448 465 95
784 838 54
807 339 41
175 15 56
794 270 93
155 156 25
588 247 48
113 755 18
996 375 56
146 759 62
363 207 79
509 343 18
563 502 9
255 677 76
910 823 46
954 331 54
731 271 53
578 384 9
295 732 36
403 879 48
216 242 55
495 751 51
964 666 53
772 921 83
299 832 6
744 786 89
697 517 60
601 447 97
909 95 29
297 850 8
444 66 50
150 913 54
200 229 72
753 353 94
335 652 78
92 396 16
533 445 86
892 47 33
340 308 80
169 605 30
876 401 49
178 552 14
231 752 44
654 857 97
999 544 50
176 637 98
844 522 96
29 766 95
13 107 55
93 276 61
374 152 62
74 330 14
688 913 19
883 920 76
79 919 21
280 448 10
878 292 32
625 321 98
419 686 57
873 131 33
285 506 38
99 580 20
464 620 86
582 503 6
558 935 25
430 215 73
939 445 17
322 70 38
471 489 77
728 715 8
612 0 66
649 99 99
369 564 19
706 498 75
611 408 10
787 838 25
412 129 71
328 451 93
918 923 83
194 3 98
